user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Km29	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tepidimicrobiaceae;g__JAAYFE01;s__JAAYFE01 sp012735405	GCA_012735405.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tepidimicrobiaceae;g__JAAYFE01;s__JAAYFE01 sp012735405	99.05	0.78	GCA_012735405.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tepidimicrobiaceae;g__JAAYFE01;s__JAAYFE01 sp012735405	99.05	0.78	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tepidimicrobiaceae;g__JAAYFE01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012728365.1, s__JAAYFE01 sp012728365, 95.0, 83.51, 0.68	69.02	11	N/A	N/A
Km291	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__DTU049 sp018056215	GCA_018056215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__DTU049 sp018056215	97.86	0.7	GCA_018056215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__DTU049 sp018056215	97.86	0.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001513285.1, s__DTU049 sp001513285, 95.0, 90.66, 0.65; GCA_018432645.1, s__DTU049 sp018432645, 95.0, 90.33, 0.77; GCA_001603615.1, s__DTU049 sp001603615, 95.0, 82.39, 0.57; GCA_001512885.1, s__DTU049 sp001512885, 95.0, 79.0, 0.54	75.93	11	N/A	N/A
Km293	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.58	11	0.9014684341223805	N/A
Km295	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__M0108;s__	N/A	N/A	N/A	N/A	N/A	GCA_016714645.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__M0108;s__M0108 sp016714645	93.64	0.89	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__M0108;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018435665.1, s__M0108 sp018435665, 95.0, 80.7, 0.63; GCA_019136395.1, s__M0108 sp019136395, 95.0, 80.5, 0.57; GCA_009928645.1, s__M0108 sp009928645, 95.0, 80.41, 0.55; GCA_006227775.1, s__M0108 sp006227775, 95.0, 79.85, 0.42	58.3	11	0.9914467852150344	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Km296	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__DMER64 sp002071385	GCA_002071385.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__DMER64 sp002071385	99.67	0.88	GCA_002071385.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__DMER64 sp002071385	99.67	0.88	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002305545.1, s__DMER64 sp002305545, 95.0, 86.42, 0.84; GCA_002070565.1, s__DMER64 sp002070565, 95.0, 83.68, 0.75; GCA_002409325.1, s__DMER64 sp002409325, 95.0, 83.65, 0.81; GCA_001603455.1, s__DMER64 sp001603455, 95.0, 78.57, 0.41; GCA_002071175.1, s__DMER64 sp002071175, 95.0, 78.28, 0.34; GCA_011620605.1, s__DMER64 sp011620605, 95.0, 78.08, 0.34; GCA_001512865.1, s__DMER64 sp001512865, 95.0, 77.93, 0.4; GCA_012515395.1, s__DMER64 sp012515395, 95.0, 77.82, 0.35; GCA_002427525.1, s__DMER64 sp002427525, 95.0, 77.19, 0.24; GCA_002408205.1, s__DMER64 sp002408205, 95.0, 77.19, 0.15; GCA_012839605.1, s__DMER64 sp012839605, 95.0, 77.04, 0.14; GCA_012510445.1, s__DMER64 sp012510445, 95.0, 76.62, 0.17	85.88	11	N/A	N/A
Km299	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA1424;s__UBA1424 sp002329705	GCA_002329705.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA1424;s__UBA1424 sp002329705	97.3	0.85	GCA_002329705.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA1424;s__UBA1424 sp002329705	97.3	0.85	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA1424;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012971835.1, s__UBA1424 sp012971835, 95.0, 78.82, 0.2; GCA_012522695.1, s__UBA1424 sp012522695, 95.0, 76.61, 0.04	70.93	11	N/A	N/A
Km3	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__UBA4810 sp002418825	GCA_002418825.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__UBA4810 sp002418825	98.18	0.8	GCA_002418825.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__UBA4810 sp002418825	98.18	0.8	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002402545.1, s__UBA4810 sp002402545, 95.0, 79.68, 0.46; GCA_016928765.1, s__UBA4810 sp016928765, 95.0, 79.53, 0.43; GCA_002478265.1, s__UBA4810 sp002478265, 95.0, 79.41, 0.44; GCA_011046295.1, s__UBA4810 sp011046295, 95.0, 79.03, 0.35; GCA_001797845.1, s__UBA4810 sp001797845, 95.0, 77.54, 0.28; GCA_002479215.1, s__UBA4810 sp002479215, 95.0, 76.92, 0.17	91.62	11	N/A	N/A
Km300	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__DMER64 sp002305545	GCA_002305545.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__DMER64 sp002305545	99.57	0.86	GCA_002305545.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__DMER64 sp002305545	99.57	0.86	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002409325.1, s__DMER64 sp002409325, 95.0, 88.43, 0.81; GCA_002070565.1, s__DMER64 sp002070565, 95.0, 87.79, 0.76; GCA_002071385.1, s__DMER64 sp002071385, 95.0, 85.96, 0.73; GCA_001603455.1, s__DMER64 sp001603455, 95.0, 79.42, 0.44; GCA_001512865.1, s__DMER64 sp001512865, 95.0, 78.44, 0.41; GCA_011620605.1, s__DMER64 sp011620605, 95.0, 78.33, 0.34; GCA_002071175.1, s__DMER64 sp002071175, 95.0, 78.2, 0.38; GCA_002408205.1, s__DMER64 sp002408205, 95.0, 77.84, 0.16; GCA_012515395.1, s__DMER64 sp012515395, 95.0, 77.8, 0.35; GCA_002427525.1, s__DMER64 sp002427525, 95.0, 77.58, 0.25; GCA_012510445.1, s__DMER64 sp012510445, 95.0, 76.87, 0.14; GCA_012839605.1, s__DMER64 sp012839605, 95.0, 76.45, 0.14	87.63	11	N/A	N/A
Km302	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__DTU052 sp012728655	GCA_012728655.1	95.0	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__DTU052 sp012728655	99.64	0.94	GCA_012728655.1	95.0	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__DTU052 sp012728655	99.64	0.94	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001512495.1, s__DTU052 sp001512495, 95.0, 87.01, 0.88; GCA_002329495.1, s__DTU052 sp002329495, 95.0, 77.7, 0.35; GCA_012729505.1, s__DTU052 sp012729505, 95.0, 75.87, 0.07	67.55	11	N/A	N/A
Km304	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Thermanaerothrix;s__Thermanaerothrix daxensis	GCF_001306145.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Thermanaerothrix;s__Thermanaerothrix daxensis	98.69	0.97	GCF_001306145.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Thermanaerothrix;s__Thermanaerothrix daxensis	98.69	0.97	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.36	11	N/A	N/A
Km32	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__	N/A	N/A	N/A	N/A	N/A	GCA_003670925.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__SXXK01 sp003670925	77.15	0.14	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003669615.1, s__SXXK01 sp003669615, 95.0, 76.85, 0.06; GCA_016795145.1, s__SXXK01 sp016795145, 95.0, 76.67, 0.08; GCA_903871805.1, s__SXXK01 sp903871805, 95.0, 76.35, 0.03; GCA_903896675.1, s__SXXK01 sp903896675, 95.0, 75.81, 0.02; GCA_903858815.1, s__SXXK01 sp903858815, 95.0, 75.78, 0.02; GCA_017859815.1, s__SXXK01 sp017859815, 95.0, 75.33, 0.01; GCA_903924405.1, s__SXXK01 sp903924405, 95.0, 75.33, 0.04; GCA_005791255.1, s__SXXK01 sp005791255, 95.0, 75.3, 0.02	44.3	11	0.9644215069747815	N/A
Km33	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Syntrophosphaera;s__Syntrophosphaera sp002070045	GCA_002070045.1	95.0	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Syntrophosphaera;s__Syntrophosphaera sp002070045	98.3	0.68	GCA_002070045.1	95.0	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Syntrophosphaera;s__Syntrophosphaera sp002070045	98.3	0.68	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Syntrophosphaera;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004353895.1, s__Syntrophosphaera thermopropionivorans, 95.0, 87.43, 0.9; GCA_002376725.1, s__Syntrophosphaera sp002376725, 95.0, 86.71, 0.88; GCA_012516855.1, s__Syntrophosphaera sp012516855, 95.0, 77.42, 0.04; GCA_017995495.1, s__Syntrophosphaera sp017995495, 95.0, 76.41, 0.02; GCA_012728875.1, s__Syntrophosphaera sp012728875, 95.0, 76.37, 0.03; GCA_012522635.1, s__Syntrophosphaera sp012522635, 95.0, 75.56, 0.03	76.71	11	N/A	N/A
Km35	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasuis	GCF_004283785.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasuis	97.51	0.86	GCF_004283785.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasuis	97.51	0.86	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000440555.1, s__Streptococcus suis_N, 95.0, 95.62, 0.9; GCF_902702775.1, s__Streptococcus suis_W, 95.2533, 85.69, 0.74; GCF_000294495.1, s__Streptococcus suis, 95.2533, 85.63, 0.73; GCA_000440235.1, s__Streptococcus suis_F, 95.0, 85.48, 0.74; GCF_002760245.1, s__Streptococcus suis_I, 95.0, 85.33, 0.72; GCF_016743335.1, s__Streptococcus suis_Y, 95.0, 85.18, 0.69; GCA_002831545.1, s__Streptococcus suis_P, 95.0, 85.08, 0.74; GCF_000440115.1, s__Streptococcus suis_L, 95.0, 84.84, 0.71; GCF_002964045.1, s__Streptococcus suis_U, 95.0, 84.1, 0.66; GCF_016775005.1, s__Streptococcus suis_X, 95.0, 83.47, 0.54; GCF_002960425.1, s__Streptococcus suis_S, 95.0, 83.45, 0.66; GCF_002964575.1, s__Streptococcus suis_R, 95.0, 83.37, 0.67; GCF_002960625.1, s__Streptococcus suis_T, 95.0, 83.23, 0.66; GCF_002960445.1, s__Streptococcus suis_O, 95.0, 83.13, 0.65; GCF_017601095.1, s__Streptococcus suis_Z, 95.0, 82.74, 0.55; GCF_002962445.1, s__Streptococcus suis_V, 95.0, 82.26, 0.53; GCF_003609975.1, s__Streptococcus ruminantium, 95.0, 79.69, 0.47; GCF_018137985.1, s__Streptococcus sp018137985, 95.0, 79.26, 0.37; GCF_902460355.1, s__Streptococcus sp902460355, 95.0, 79.01, 0.18; GCA_902363395.1, s__Streptococcus sp902363395, 95.0, 78.91, 0.19; GCF_015553625.1, s__Streptococcus australis_B, 95.0, 78.88, 0.17; GCF_001579025.1, s__Streptococcus oralis_X, 95.0, 78.84, 0.19; GCF_001813295.1, s__Streptococcus sp001813295, 95.2593, 78.77, 0.18; GCF_000960035.1, s__Streptococcus oralis_G, 95.0, 78.76, 0.18; GCF_001579525.1, s__Streptococcus oralis_M, 95.0, 78.68, 0.19; GCF_000222765.1, s__Streptococcus cristatus, 95.0, 78.64, 0.16; GCF_002096445.1, s__Streptococcus oralis_N, 95.0, 78.63, 0.19; GCF_901875555.1, s__Streptococcus parasanguinis_H, 95.0, 78.57, 0.19; GCF_900459125.1, s__Streptococcus constellatus, 95.0, 78.57, 0.17; GCF_000385925.1, s__Streptococcus cristatus_B, 95.0, 78.53, 0.18; GCF_001182825.2, s__Streptococcus sp001182825, 95.0, 78.48, 0.2; GCF_016642265.1, s__Streptococcus lactarius, 95.0, 78.47, 0.17; GCF_001375655.1, s__Streptococcus varani, 95.0, 78.44, 0.22; GCF_000314795.2, s__Streptococcus sp000314795, 95.0, 78.42, 0.18; GCF_000377005.1, s__Streptococcus minor, 95.0, 78.41, 0.23; GCF_017639855.1, s__Streptococcus sp013623465, 95.0, 78.4, 0.26; GCF_001983955.1, s__Streptococcus oralis_H, 95.0, 78.38, 0.19; GCF_000380125.1, s__Streptococcus ovis, 95.0, 78.37, 0.27; GCF_003627135.1, s__Streptococcus koreensis, 95.0, 78.33, 0.16; GCF_016127915.1, s__Streptococcus oralis_BO, 95.0, 78.25, 0.18; GCF_001075675.1, s__Streptococcus oralis_V, 95.0, 78.24, 0.19; GCF_003943505.1, s__Streptococcus cristatus_E, 95.0, 78.22, 0.16; GCF_900637025.1, s__Streptococcus oralis, 95.0, 78.2, 0.2; GCF_000448565.1, s__Streptococcus sp000448565, 95.2003, 78.19, 0.16; GCF_001921845.1, s__Streptococcus cuniculi, 95.0, 78.14, 0.25; GCF_003595525.1, s__Streptococcus respiraculi, 95.0, 78.14, 0.23; GCF_001553855.1, s__Streptococcus gordonii, 95.0, 78.11, 0.18; GCF_001588645.1, s__Streptococcus oralis_AB, 95.0, 78.11, 0.17; GCA_905221305.1, s__Streptococcus sp905221305, 95.0, 78.1, 0.2; GCF_001623565.1, s__Streptococcus marmotae, 95.0, 78.09, 0.25; GCF_001578875.1, s__Streptococcus sp001578875, 95.0, 78.08, 0.13; GCF_000164675.2, s__Streptococcus parasanguinis, 95.0, 78.07, 0.17; GCF_006385805.1, s__Streptococcus xiaochunlingii, 95.0, 78.06, 0.17; GCF_002386345.1, s__Streptococcus oralis_S, 95.0, 78.05, 0.19; GCF_001073155.1, s__Streptococcus parasanguinis_D, 95.0, 78.02, 0.17; GCF_000963275.1, s__Streptococcus parasanguinis_B, 95.2991, 78.01, 0.18; GCF_900636475.1, s__Streptococcus anginosus, 95.0, 78.01, 0.13; GCF_001078705.1, s__Streptococcus sanguinis_D, 95.0, 78.0, 0.15; GCF_000767835.1, s__Streptococcus sinensis, 95.0, 77.99, 0.14; GCF_004569635.1, s__Streptococcus sp004569635, 95.0, 77.98, 0.21; GCF_002096435.1, s__Streptococcus oralis_AA, 95.0, 77.97, 0.2; GCA_905371745.1, s__Streptococcus sp905371745, 95.0, 77.97, 0.14; GCF_000186465.1, s__Streptococcus australis, 95.0, 77.97, 0.17; GCF_004785935.1, s__Streptococcus rubneri, 95.0, 77.97, 0.17; GCF_002096595.1, s__Streptococcus oralis_D, 95.0, 77.95, 0.19; GCA_018365265.1, s__Streptococcus parasanguinis_G, 95.0331, 77.92, 0.17; GCA_000180035.1, s__Streptococcus parasanguinis_C, 95.0, 77.89, 0.17; GCF_902167705.1, s__Streptococcus constellatus_A, 95.0, 77.88, 0.14; GCF_003943465.1, s__Streptococcus cristatus_C, 95.0, 77.88, 0.18; GCF_016648925.1, s__Streptococcus sp900766505, 95.2991, 77.85, 0.17; GCF_001984715.1, s__Streptococcus azizii, 95.0, 77.84, 0.2; GCA_900546335.1, s__Streptococcus sp900546335, 95.0, 77.81, 0.18; GCF_001074805.1, s__Streptococcus parasanguinis_A, 95.0, 77.81, 0.18; GCF_004166885.1, s__Streptococcus sp004166885, 95.0, 77.81, 0.18; GCF_009717815.1, s__Streptococcus parasanguinis_F, 95.25, 77.8, 0.18; GCF_004570575.1, s__Streptococcus cuniculi_A, 95.0, 77.79, 0.27; GCF_013343115.1, s__Streptococcus sanguinis_H, 95.0, 77.79, 0.17; GCF_003943815.1, s__Streptococcus cristatus_F, 95.0, 77.79, 0.18; GCF_001578775.1, s__Streptococcus cristatus_A, 95.0, 77.75, 0.18; GCF_000212815.1, s__Streptococcus sanguinis_C, 95.0, 77.73, 0.15; GCF_012396585.1, s__Streptococcus ovuberis, 95.0, 77.71, 0.13; GCF_000194945.1, s__Streptococcus sanguinis, 95.0, 77.68, 0.17; GCA_013378335.1, s__Streptococcus sanguinis_I, 95.0, 77.66, 0.17; GCF_003943515.1, s__Streptococcus cristatus_D, 95.0, 77.65, 0.18; GCA_018366675.1, s__Streptococcus parasanguinis_E, 95.293, 77.59, 0.14; GCA_001578795.1, s__Streptococcus gordonii_A, 95.0, 77.55, 0.19; GCF_000380085.1, s__Streptococcus merionis, 95.0, 77.51, 0.13; GCF_900635155.1, s__Streptococcus sanguinis_G, 95.0, 77.49, 0.16; GCF_003943735.1, s__Streptococcus sanguinis_E, 95.0, 77.46, 0.15; GCF_001921825.1, s__Streptococcus acidominimus, 95.0, 77.46, 0.24; GCF_001697145.1, s__Streptococcus anginosus_C, 95.0, 77.44, 0.16; GCF_000212855.1, s__Streptococcus sanguinis_A, 95.0, 77.39, 0.15; GCF_003943655.1, s__Streptococcus sanguinis_F, 95.0, 77.39, 0.16; GCA_900755085.1, s__Streptococcus sp900755085, 95.0, 77.33, 0.12; GCA_902373455.1, s__Streptococcus sp902373455, 95.0, 77.29, 0.1; GCF_000220065.1, s__Streptococcus sp000220065, 95.0, 77.24, 0.17; GCA_905372115.1, s__Streptococcus sp905372115, 95.0, 77.15, 0.15; GCA_002436115.1, s__Streptococcus sp002436115, 95.0, 76.6, 0.07; GCA_902836505.1, s__Streptococcus sp902836505, 95.0, 76.23, 0.09	80.66	11	N/A	N/A
Km37	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__Syner-03 sp002306075	GCA_002306075.1	95.0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__Syner-03 sp002306075	99.7	0.91	GCA_002306075.1	95.0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__Syner-03 sp002306075	99.7	0.91	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002316795.1, s__Syner-03 sp002316795, 95.0, 87.33, 0.85; GCA_012727545.1, s__Syner-03 sp012727545, 95.0, 79.96, 0.46; GCA_002839185.1, s__Syner-03 sp002839185, 95.0, 79.64, 0.57; GCA_002428495.1, s__Syner-03 sp002428495, 95.0, 79.31, 0.57; GCA_012513245.1, s__Syner-03 sp012513245, 95.0, 78.33, 0.38; GCA_012728505.1, s__Syner-03 sp012728505, 95.0, 77.82, 0.26	93.29	11	N/A	N/A
Km38	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA6985;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA6985;s__	ANI	classification based on placement in class-level tree	GCA_900314465.1, s__UBA6985 sp900314465, 95.0, 77.97, 0.3; GCA_017542465.1, s__UBA6985 sp017542465, 95.0, 77.82, 0.22; GCA_016283935.1, s__UBA6985 sp016283935, 95.0, 77.55, 0.22; GCA_017450205.1, s__UBA6985 sp017450205, 95.0, 77.15, 0.21; GCA_002450035.1, s__UBA6985 sp002450035, 95.0, 76.81, 0.14	85.56	11	0.9515685403040074	N/A
